('Chinua Achebe',         'chinua_achebe',      'chinua_achebe@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Jane Austen',           'jane_austen',      'jane_austen@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Paul Auster',           'paul_auster',      'paul_auster@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Julian Baggini',        'julian_baggini',     'julian_baggini@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Paul Bailey',           'paul_bailey',      'paul_bailey@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Beryl Bainbridge',      'beryl_bainbridge',   'beryl_bainbridge@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('James Baldwin',         'james_baldwin',      'james_baldwin@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('JG Ballard',            'jg_ballard',      'jg_ballard@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Iain Banks',            'iain_banks',      'iain_banks@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('John Banville',         'john_banville',      'john_banville@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Clive Barker',          'clive_barker',      'clive_barker@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Pat Barker',            'pat_barker',      'pat_barker@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Nicola Barker',         'nicola_barker',      'nicola_barker@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Julian Barnes',         'julian_barnes',      'julian_barnes@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Sebastian Barry',       'sebastian_barry',    'sebastian_barry@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Donald Barthelme',      'donald_barthelme',   'donald_barthelme@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Belinda Bauer',         'belinda_bauer',      'belinda_bauer@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Nina Bawden',           'nina_bawden',      'nina_bawden@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Mary Beard',            'mary_beard',      'mary_beard@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Beatrix Potter',        'beatrix_potter',     'beatrix_potter@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Simone de Beauvoir',    'simone_de_beauvoir', 'simone_de_beauvoir@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Samuel Beckett',        'samuel_beckett',     'samuel_beckett@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Antony Beevor',         'antony_beevor',      'antony_beevor@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Saul Bellow',           'saul_bellow',      'saul_bellow@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Benjamin Markovits',    'benjamin_markovits', 'benjamin_markovits@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('George Bernard Shaw',   'george_bernard_shaw','george_bernard_shaw@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Louis de Bernières',    'louis_de_bernières', 'louis_de_bernières@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('John Betjeman',         'john_betjeman',      'john_betjeman@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Maeve Binchy',          'maeve_binchy',      'maeve_binchy@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Carol Birch',           'carol_birch',      'carol_birch@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Quentin Blake',         'quentin_blake',      'quentin_blake@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('William Blake',         'william_blake',      'william_blake@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Enid Blyton',           'enid_blyton',      'enid_blyton@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Roberto Bolaño',        'roberto_bolaño',     'roberto_bolaño@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Katherine Boo',         'katherine_boo',      'katherine_boo@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Jorge Luis Borges',     'jorge_luis_borges',  'jorge_luis_borges@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('William Boyd',          'william_boyd',      'william_boyd@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Ray Bradbury',          'ray_bradbury',      'ray_bradbury@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Barbara Taylor Bradford',          'barbara_taylor_bradford',                      'barbara_taylor_bradford@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Stewart Brand',         'stewart_brand',      'stewart_brand@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Raymond Briggs',        'raymond_briggs',     'raymond_briggs@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Constance Briscoe',     'constance_briscoe',  'constance_briscoe@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Anne Brontë',           'anne_brontë',      'anne_brontë@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Charlotte Brontë',      'charlotte_brontë',   'charlotte_brontë@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Emily Brontë',          'emily_brontë',      'emily_brontë@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Anita Brookner',        'anita_brookner',     'anita_brookner@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Dan Brown',             'dan_brown',      'dan_brown@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Jeffrey Brown',         'jeffrey_brown',      'jeffrey_brown@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Anthony Browne',        'anthony_browne',     'anthony_browne@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Bill Bryson',           'bill_bryson',      'bill_bryson@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Mikhail Bulgakov',      'mikhail_bulgakov',   'mikhail_bulgakov@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Anthony Burgess',       'anthony_burgess',    'anthony_burgess@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Melvin Burgess',        'melvin_burgess',     'melvin_burgess@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Gordon Burn',           'gordon_burn',      'gordon_burn@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Robert Burns',          'robert_burns',      'robert_burns@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('William Burroughs',     'william_burroughs',  'william_burroughs@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('AS Byatt',              'as_byatt',      'as_byatt@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Lord Byron',            'lord_byron',      'lord_byron@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Carmen Callil',         'carmen_callil',      'carmen_callil@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Italo Calvino',         'italo_calvino',      'italo_calvino@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Albert Camus',          'albert_camus',      'albert_camus@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Truman Capote',         'truman_capote',      'truman_capote@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Peter Carey',           'peter_carey',      'peter_carey@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Carlos Fuentes',        'carlos_fuentes',     'carlos_fuentes@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Lewis Carroll',         'lewis_carroll',      'lewis_carroll@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Angela Carter',         'angela_carter',      'angela_carter@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Raymond Carver',        'raymond_carver',     'raymond_carver@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Eleanor Catton',        'eleanor_catton',     'eleanor_catton@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Miguel de Cervantes',   'miguel_de_cervantes','miguel_de_cervantes@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Michael Chabon',        'michael_chabon',     'michael_chabon@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Raymond Chandler',      'raymond_chandler',   'raymond_chandler@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Rajiv Chandrasekaran',  'rajiv_chandrasekaran',                         'rajiv_chandrasekaran@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Bruce Chatwin',         'bruce_chatwin',      'bruce_chatwin@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Geoffrey Chaucer',      'geoffrey_chaucer',   'geoffrey_chaucer@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Anton Chekhov',         'anton_chekhov',      'anton_chekhov@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('GK Chesterton',         'gk_chesterton',      'gk_chesterton@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Lauren Child',          'lauren_child',      'lauren_child@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Chris Ware',            'chris_ware',      'chris_ware@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Agatha Christie',       'agatha_christie',    'agatha_christie@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Christopher Isherwood', 'christopher_isherwood',                        'christopher_isherwood@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('CJ Sansom',             'cj_sansom',      'cj_sansom@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Tom Clancy',            'tom_clancy',      'tom_clancy@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
